Index,company_id,company_name,category_code,status,owner_id
1,c:181016,CandidateBroker,software,operating,37
2,c:181028,ClickTripz,advertising,operating,82
3,c:181135,Built In Chicago,web,operating,18
4,c:18116,1-800-905-GEEK,consulting,ipo,81
6,c:181249,Haystack Technologies,mobile,operating,93
8,c:181498,Koge Vitamins,ecommerce,operating,40
9,c:18192,Adtuitive,advertising,acquired,80
10,c:18198,FairShare,consulting,closed,16
11,c:182299,Drastic Images,other,operating,52
12,c:182366,RATESPECIAL INTERACTIVE,advertising,operating,40
14,c:182501,Virginia Beach Estates,other,operating,96
15,c:18256,kinDragon,software,operating,74
16,c:182740,piSociety,ecommerce,operating,91
17,c:182839,LUNA,software,operating,20
18,c:182901,Parkland Pipeline,enterprise,acquired,66
19,c:183049,Let'sGoDoIt,ecommerce,operating,90
20,c:183131,ZipMeet,public_relations,operating,42
21,c:18314,South49 Solutions,software,operating,74
26,c:183878,Smart Shopper,web,operating,10
27,c:183935,Episode Software,software,operating,48
28,c:183984,US Garage Door Co West Linn,other,operating,32
29,c:18412,YouDiligence,web,operating,9
34,c:184792,Goodrich Residential,other,operating,22
35,c:18481,whistleBox,games_video,operating,58
36,c:184851,High Bar Capital Partners,other,operating,87
37,c:184952,Grey Banner,network_hosting,operating,69
38,c:184972,AudienceWise,consulting,acquired,43
39,c:185106,Nomi,software,operating,83
40,c:185232,CTX Virtual Technologies,hardware,operating,39
41,c:185353,5 O'Clock Records,software,operating,49
42,c:185608,Future Transit Systems,mobile,operating,78
43,c:185762,baggg.it,web,operating,100
44,c:1858,ReimagineMemories,web,operating,87
45,c:18582,FetchDog,web,closed,92
47,c:186077,Ellevation,software,operating,90
48,c:186212,Hotelzilla,software,operating,18
49,c:186216,Moerae Matrix,biotech,operating,11
51,c:186582,Evolving Medium,consulting,operating,79
52,c:186766,AutoInsuranceCenter.com,other,operating,70
53,c:186824,Uniite,ecommerce,operating,33
54,c:187004,Wellframe,biotech,operating,53
55,c:187155,Flavitt,web,operating,69
56,c:187175,Remedify,hardware,operating,53
57,c:1873,Visible Measures,advertising,operating,68
59,c:187397,CityInteractive,web,operating,23
60,c:187503,SurpriseRide,web,operating,37
61,c:1878,ATG (Art Technology Group),web,acquired,37
64,c:188087,Dipedia,software,operating,86
66,c:188226,Avenger Mobile,mobile,operating,16
67,c:188403,Proactive SEO Solutions,advertising,operating,89
69,c:188566,Encodium,ecommerce,operating,99
70,c:18870,StarWind Software,software,operating,93
71,c:188707,Icydeals,ecommerce,operating,37
75,c:189721,Calm,web,operating,13
76,c:189742,Crunch Magic,games_video,operating,99
77,c:18977,Blip'd,games_video,operating,32
78,c:190352,Pairwise,advertising,operating,94
82,c:190684,Lucena Research,software,operating,38
83,c:190730,We,mobile,operating,1
84,c:190809,Hulp,software,operating,91
85,c:191109,Brite Revolution,games_video,operating,49
86,c:191166,Deibel Laboratories,biotech,operating,16
87,c:191203,KingSide,enterprise,operating,2
88,c:191264,Cobrapps,web,operating,34
89,c:191436,Tikl,mobile,operating,89
90,c:191463,MineSense Technologies,software,operating,30
91,c:191560,Close.io,software,operating,42
92,c:191665,Bite Global,public_relations,operating,88
93,c:191773,BrainBloom,consulting,operating,77
94,c:191954,Namo Media,mobile,operating,11
95,c:191997,Lever,software,operating,58
97,c:1924,fbExchange,public_relations,acquired,80
98,c:192417,InterFulfillment,enterprise,operating,47
100,c:192543,Same Day Courier Services,advertising,operating,62
104,c:1928,IPRO,web,operating,81
106,c:193285,Pin Point Management,consulting,operating,56
107,c:193288,West Valley Smiles,other,operating,58
108,c:193291,Lightspeed Technologies,public_relations,operating,93
110,c:193615,Mutuality,web,operating,98
111,c:193623,chedda,ecommerce,operating,53
112,c:193637,PrepWork,other,acquired,31
113,c:193727,MadeClose LLC,ecommerce,operating,94
114,c:193883,GroundCntrl,mobile,operating,53
117,c:194403,Steel House Labs,enterprise,operating,27
118,c:194408,TEKEVER,software,operating,61
122,c:195009,Trnio,software,operating,28
123,c:195012,Spiral Scout,software,operating,28
124,c:195056,SignalFuse,software,operating,48
126,c:195309,Naturally Fresh Deodorant Crystal,ecommerce,operating,49
128,c:195389,High Fidelity,hardware,operating,8
129,c:195529,Capitola Media,advertising,operating,14
130,c:195696,Brick & Maker,other,operating,16
131,c:195698,On Call Central,public_relations,operating,75
132,c:195872,Wicker Furniture World,ecommerce,operating,98
133,c:196033,First Look Approval,consulting,operating,8
139,c:1965,Maugans Corp,web,operating,67
140,c:196864,Post.Bid.Ship,ecommerce,operating,8
141,c:197024,Stagistics,enterprise,operating,60
142,c:19733,Binserver,other,operating,35
143,c:19756,IT Tag Team,consulting,operating,47
144,c:197639,Celery,ecommerce,operating,14
145,c:19765,WikiPock,mobile,operating,4
147,c:19856,GlobalPrint Systems,hardware,operating,36
149,c:199155,BarefootStudent.Com,advertising,operating,34
150,c:19935,Ubequity,web,closed,9
152,c:199619,TARCHALA IBS,web,operating,92
153,c:200167,Dream Dojo,web,operating,79
154,c:200371,Boutique Air,other,operating,17
155,c:200515,Avera Pharmaceutical,biotech,operating,85
156,c:200772,Recette+ The Recipe Social Network,network_hosting,operating,77
157,c:200915,DTE Energy,other,operating,79
158,c:200939,Bioceptive,biotech,operating,25
159,c:201,TechnologyGuide,web,acquired,1
160,c:201305,Stealth VC,ecommerce,operating,28
162,c:201794,Smarter Apps,software,operating,42
163,c:20189,Veridictus Associates,consulting,operating,31
164,c:202091,J-Back Roofing & Construction,consulting,operating,5
167,c:204138,Thexyz,network_hosting,operating,56
168,c:20422,PhonEssential.com,mobile,operating,73
169,c:204903,Tenet Healthcare Corporation,biotech,operating,75
170,c:2050,Avid Life Media,web,operating,30
172,c:206312,Plain,web,operating,49
173,c:206543,Channel Medsystems,biotech,operating,100
174,c:206917,Phigital,mobile,operating,16
175,c:206969,Greekdrop,ecommerce,operating,47
176,c:207896,Udorm,mobile,operating,92
177,c:20832,LookStat,ecommerce,closed,9
178,c:208547,Ventures Contracting,other,operating,6
179,c:20926,Pointlogic,enterprise,operating,90
180,c:209515,FIGNATURE,software,operating,9
181,c:20952,Talent Alliance,ecommerce,operating,49
184,c:209986,Molecule Software,enterprise,operating,83
185,c:210280,Everwise,software,operating,13
186,c:210455,BadCat Design,other,operating,92
187,c:210489,Confie Seguros,enterprise,operating,90
188,c:210800,Make Meaning,ecommerce,operating,9
189,c:211333,A View From My Seat,advertising,operating,13
191,c:211387,Wilshire Jets,other,operating,34
198,c:21242,Clarity Accounting,software,operating,40
199,c:21283,Omegle,web,operating,84
200,c:212841,Truly Wireless,enterprise,operating,84
203,c:21339,Elluminate,software,operating,57
204,c:21364,HireCube,software,operating,12
205,c:213843,Lohika,software,operating,100
206,c:213887,Reformation Medicine,software,operating,94
207,c:213914,Campus Bellhops,web,operating,50
210,c:21450,Foundation Radiology Group,biotech,operating,7
211,c:21493,Eiger BioPharmaceuticals,biotech,operating,17
212,c:21499,InStream Media,advertising,operating,46
213,c:21514,NeoStem,biotech,operating,3
214,c:21521,Selecta Biosciences,biotech,operating,20
215,c:21528,avVenta,advertising,acquired,38
216,c:2154,hubbuzz.com,web,closed,47
217,c:2155,Rent.com,web,acquired,48
218,c:215671,Tourjive,software,operating,12
219,c:215749,Bioreclamation Holdings,biotech,operating,8
220,c:2159,PlanJam,web,operating,37
222,c:2163,Kazowie,web,operating,64
223,c:216360,Dry Creek Enterprises,other,operating,6
224,c:216611,LogicBay,software,operating,51
225,c:216698,LinkenTech Support Services USA,software,operating,8
226,c:216759,Revision Military,hardware,operating,27
227,c:216792,AFORE Solutions,enterprise,operating,19
228,c:217,stylediary,web,acquired,4
229,c:217007,Homeland Holdco,biotech,operating,46
230,c:217163,RTF Logic,software,operating,50
231,c:21721,PriveCo,ecommerce,operating,46
232,c:217379,Impact Driven,software,operating,12
233,c:217596,ADVANCED MEDICAL ISOTOPE,biotech,operating,32
234,c:217644,Tegotech Software,software,operating,52
235,c:217800,ISEBOX,software,operating,11
236,c:217891,Pharmacyclics,biotech,ipo,25
238,c:218,ictv,web,operating,12
239,c:218087,ISI Life Sciences,biotech,operating,49
240,c:21817,Pelikan Technologies,biotech,operating,50
242,c:218254,Durham VA Medical Center,biotech,operating,62
243,c:218381,Apriso,software,acquired,30
245,c:21863,Stoke,mobile,operating,21
248,c:218841,REPLICEL LIFE SCIENCES,biotech,operating,61
249,c:219153,Planetary Resources,other,operating,96
250,c:219488,Private Practice,software,operating,74
252,c:219568,Hasbro Inc,games_video,ipo,98
255,c:220455,Exerscrip,biotech,operating,58
256,c:220528,Intrapace,biotech,operating,98
257,c:220562,Brain Synergy Institute,biotech,operating,70
260,c:221428,Boutique Window,web,operating,92
262,c:221689,StratusLIVE,software,operating,16
263,c:221708,profectus health research,biotech,operating,57
265,c:221995,WeMonitor,hardware,operating,73
267,c:22239,Feeva Technology Inc,mobile,operating,59
268,c:222508,Watson Voice,public_relations,operating,100
269,c:222534,dubjoy,software,operating,95
270,c:2229,Liivid,web,operating,2
271,c:222907,MedSpring,advertising,operating,55
272,c:2231,Rethos,web,operating,21
273,c:223261,Taggs,public_relations,operating,74
275,c:22381,VaynerMedia,consulting,operating,42
277,c:224317,DaVinci Digital,consulting,operating,94
279,c:224357,Houserentals.com,web,operating,14
280,c:22462,Kidlandia,web,operating,51
283,c:2252,UnsubCentral,web,acquired,35
285,c:225682,AxesNetwork,games_video,operating,47
286,c:225711,TurtleCell,ecommerce,operating,83
287,c:22576,BrainCells,biotech,operating,81
288,c:225798,Acceptd,software,operating,25
291,c:22660,Zumbua,web,closed,59
293,c:22724,Utah Stories,public_relations,operating,7
294,c:227663,SERVICEINFINITY,other,operating,19
295,c:227886,Web Espy,web,operating,16
298,c:228372,ResearchMoz(US),other,operating,64
299,c:2284,8aweek,web,closed,94
300,c:228556,Spooky Cool Labs,games_video,acquired,57
301,c:229270,hdl therapeutics,biotech,operating,82
302,c:229303,Neon labs,web,operating,73
303,c:22935,Front Stream Payments,enterprise,operating,80
305,c:2295,aSmallWorld,web,operating,60
306,c:230380,EveryScreenMedia,ecommerce,acquired,7
309,c:230709,Pivot Acquisition,software,operating,21
310,c:230788,Favery,software,operating,26
312,c:2313,CyberRentals,web,acquired,52
313,c:23133,First Coverage,software,operating,77
314,c:231466,Waraire Boswell Industries,ecommerce,operating,90
315,c:231609,MDxHealth,biotech,operating,53
317,c:231964,Front Page PR,consulting,operating,85
319,c:23228,Three Rivers Consulting,software,operating,45
320,c:232286,united healthcare practice solutions,other,operating,35
321,c:232419,Bash Foo,ecommerce,operating,18
324,c:23276,Book4Time,software,operating,89
329,c:23336,Performics,advertising,acquired,43
330,c:233715,PSiO,hardware,operating,47
331,c:234161,Alternative Assets Investment Management,other,operating,35
332,c:23417,Playboox,software,operating,18
333,c:234256,IPR International,other,operating,63
335,c:234544,decimalplus,network_hosting,operating,81
336,c:234732,MobSoc Media,mobile,operating,43
337,c:234768,InfoBionic,biotech,operating,47
340,c:2349,Subimage,web,operating,57
341,c:235039,ComponentLab,software,operating,26
342,c:23510,The JAR Group,advertising,operating,86
344,c:235452,Avenace Incorporated,mobile,operating,63
345,c:235467,3d Vision Systems,hardware,operating,46
348,c:235708,The Roost Stand,hardware,operating,81
352,c:23640,YEAONAY,web,operating,70
353,c:236447,smARtMAKER,hardware,operating,57
354,c:236532,DBAZA,web,operating,71
355,c:23665,ParentsRateAll.com,web,operating,87
361,c:23776,Funji,games_video,operating,48
362,c:23796,Clacendix,ecommerce,acquired,37
364,c:238308,Euphoria Body Piercing & Tattoo,other,operating,63
365,c:2384,AskPoodle,web,operating,44
367,c:238457,Today Tix,software,operating,52
